iter	CrossEntropy
0	0.4310896265
1	0.391970527
2	0.3694987506
3	0.3528028873
4	0.3479233019
5	0.330653707
6	0.3267123079
7	0.3174756619
8	0.3066811845
9	0.3006355557
10	0.2912792685
11	0.2861640831
12	0.2808732827
13	0.2781078808
14	0.2779106054
15	0.2774946261
16	0.2763694816
17	0.2739861244
18	0.2694976557
19	0.2658962108
20	0.2592140445
21	0.2561222766
22	0.2539624598
23	0.2508033903
24	0.249922634
25	0.2479395619
26	0.2426516642
27	0.2363591013
28	0.2329495485
29	0.2304418591
30	0.2269550432
31	0.2254868725
32	0.222636533
33	0.2200965109
34	0.2162034297
35	0.2137441825
36	0.2111016381
37	0.2069988386
38	0.2036165666
39	0.2026576656
40	0.2017116358
41	0.2005166642
42	0.1987550016
43	0.1972718909
44	0.1943332642
45	0.1915393008
46	0.1896332002
